step,loss,lr,vram_gb
0,151.15443515777588,2.5000000000000002e-08,3.779106816
0,150.91411209106445,2.5000000000000002e-08,3.69843712
1,150.55583453178406,5.0000000000000004e-08,3.655904768
2,150.41413847605386,7.500000000000001e-08,3.656178688
3,150.42970764636993,1.0000000000000001e-07,3.677010432
0,152.79583072662354,2.5000000000000002e-08,3.228738048
1,152.53209781646729,5.0000000000000004e-08,3.21952768
2,152.39848311742148,7.500000000000001e-08,3.216594944
3,152.44054043293,1.0000000000000001e-07,3.227727872
4,152.38220491409302,1.2500000000000002e-07,3.2194176
5,152.40117963155112,1.5000000000000002e-07,3.223553024
6,152.406434740339,1.7500000000000002e-07,3.217806336
7,152.31329345703125,2.0000000000000002e-07,3.214762496
8,152.2666565577189,2.25e-07,3.216855552
9,152.20628838539125,2.5000000000000004e-07,3.217250304
10,152.0535625110973,2.75e-07,3.218166272
11,151.86767188707987,3.0000000000000004e-07,3.239363072
12,151.76776673243597,3.25e-07,3.216695808
13,151.62008442197526,3.5000000000000004e-07,3.2288128
14,151.41283785502117,3.75e-07,3.226796544
15,151.2535440325737,4.0000000000000003e-07,3.218761216
16,151.0674942521488,4.2500000000000006e-07,3.212790272
17,150.83492501576742,4.5e-07,3.231002624
18,150.5588480296888,4.75e-07,3.217307648
19,150.33080139160157,5.000000000000001e-07,3.214649344
20,150.07810229346865,5.250000000000001e-07,3.21924096
21,149.80398032881996,5.5e-07,3.219439104
22,149.5300055379453,5.75e-07,3.242633216
23,149.22072090705237,6.000000000000001e-07,3.216186368
24,148.90960512161254,6.25e-07,3.215768576
25,148.5722833413344,6.5e-07,3.218032128
26,148.20622714360556,6.75e-07,3.218154496
27,147.85523532118117,7.000000000000001e-07,3.218953728
28,147.50094658752968,7.25e-07,3.242886656
29,147.10068168640137,7.5e-07,3.216411648
30,146.70495803894536,7.75e-07,3.216875008
31,146.28199016302824,8.000000000000001e-07,3.222905856
32,145.82389989766207,8.25e-07,3.2160896
33,145.36903437446145,8.500000000000001e-07,3.224102912
34,144.89829637663706,8.750000000000001e-07,3.214555136
35,144.41503300269446,9e-07,3.215991296
36,143.92579337068506,9.25e-07,3.217206272
37,143.40043326428062,9.5e-07,3.219715584
38,142.88379010176047,9.75e-07,3.21574912
39,142.32936703562737,1.0000000000000002e-06,3.224961024
40,141.75702541630443,1.0250000000000001e-06,3.216415232
41,141.17798123473213,1.0500000000000001e-06,3.21689856
42,140.57080053174218,1.0749999999999999e-06,3.218110464
43,139.939862836491,1.1e-06,3.217532416
44,139.30485026571486,1.125e-06,3.220401152
45,138.64354777854422,1.15e-06,3.228586496
46,137.98286974683722,1.175e-06,3.223543808
47,137.30458823839822,1.2000000000000002e-06,3.218401792
48,136.6051766872406,1.2250000000000001e-06,3.216328704
49,135.88712312221526,1.25e-06,3.22211584
50,135.16508349250344,1.275e-06,3.216774656
51,134.41947632111035,1.3e-06,3.217253376
52,133.66819297592596,1.325e-06,3.2230912
53,132.90634744255632,1.35e-06,3.218105856
54,132.12486901716753,1.3750000000000002e-06,3.228968448
55,131.33057635171073,1.4000000000000001e-06,3.24649216
56,130.51673095686394,1.4250000000000001e-06,3.220573184
57,129.70764307318063,1.45e-06,3.228389888
58,128.8803781695285,1.475e-06,3.219195904
59,128.03578475316365,1.5e-06,3.220506624
60,127.192281828552,1.525e-06,3.215168
61,126.33055900373766,1.55e-06,3.217826304
62,125.46067445997208,1.5750000000000002e-06,3.215872
63,124.58437458053231,1.6000000000000001e-06,3.21577472
64,123.69191092344431,1.6250000000000001e-06,3.23165696
65,122.79617550517574,1.65e-06,3.214533632
66,121.89771425012333,1.6750000000000003e-06,3.224486912
67,120.98975065701148,1.7000000000000002e-06,3.229353472
68,120.07493862898454,1.7250000000000002e-06,3.217368576
69,119.15811214617321,1.7500000000000002e-06,3.215164416
70,118.23784506320953,1.775e-06,3.222302208
71,117.31377340687646,1.8e-06,3.218625536
72,116.38559415242443,1.8249999999999999e-06,3.232858624
73,115.45333654171712,1.85e-06,3.245974528
74,114.51857704480489,1.875e-06,3.226763776
75,113.58146970209323,1.9e-06,3.218655232
76,112.6484049016779,1.925e-06,3.222532096
77,111.71545549386587,1.95e-06,3.231400448
78,110.7821446853348,1.975e-06,3.229438976
79,109.85112431794406,2.0000000000000003e-06,3.215771648
80,108.92632687238999,2.025e-06,3.21670912
81,108.00110367958139,2.0500000000000003e-06,3.216896
82,107.07958789115929,2.075e-06,3.22449664
83,106.16428767783302,2.1000000000000002e-06,3.222882304
84,105.2526135465678,2.1250000000000004e-06,3.2160896
85,104.34540982925614,2.1499999999999997e-06,3.2306176
86,103.44536752810423,2.175e-06,3.217958912
87,102.55133704367009,2.2e-06,3.238496768
88,101.6645153184955,2.225e-06,3.214780928
89,100.7849967526065,2.25e-06,3.214878208
90,99.91128460719035,2.2750000000000002e-06,3.220185088
91,99.04643717472968,2.3e-06,3.21752832
92,98.1882062400541,2.325e-06,3.216111616
93,97.33704787556161,2.35e-06,3.218661888
94,96.49513669766878,2.375e-06,3.21841408
95,95.66196866861235,2.4000000000000003e-06,3.218124288
96,94.83706869200333,2.425e-06,3.217159168
97,94.02236119764191,2.4500000000000003e-06,3.22449664
98,93.2158472390488,2.4750000000000004e-06,3.217273856
99,92.4186197039485,2.5e-06,3.22252288
100,91.02007858633995,2.5250000000000004e-06,3.215842304
101,89.62040191322565,2.55e-06,3.223904768
102,88.21597441107035,2.575e-06,3.224756736
103,86.80201845943928,2.6e-06,3.235995648
104,85.38659130483866,2.625e-06,3.215896064
105,83.96225898593664,2.65e-06,3.231775232
106,82.53411552488804,2.6750000000000002e-06,3.224457728
107,81.10968572407961,2.7e-06,3.220532736
108,79.67808441281319,2.725e-06,3.219079168
109,78.2449151007831,2.7500000000000004e-06,3.21933312
110,76.81839602276683,2.775e-06,3.216850432
111,75.39576465904713,2.8000000000000003e-06,3.238698496
112,73.9616724421084,2.825e-06,3.241836544
113,72.5341458594799,2.8500000000000002e-06,3.2147712
114,71.11634176075458,2.8750000000000004e-06,3.216400896
115,69.69229515001177,2.9e-06,3.21618432
116,68.27368679627776,2.9250000000000004e-06,3.215205376
117,66.86392965912819,2.95e-06,3.235182592
118,65.46634727343917,2.975e-06,3.21848832
119,64.06198949053883,3e-06,3.21938432
120,62.66618861809373,3.0250000000000003e-06,3.218484224
121,61.279095489531755,3.05e-06,3.214224384
122,59.89672584861517,3.075e-06,3.216977408
123,58.52693713471294,3.1e-06,3.219034624
124,57.16267080366612,3.125e-06,3.2183296
125,55.810262221395966,3.1500000000000003e-06,3.2181376
126,54.47223815262318,3.175e-06,3.2183296
127,53.137180473208424,3.2000000000000003e-06,3.21613568
128,51.80824343711138,3.225e-06,3.215416832
129,50.500556683689354,3.2500000000000002e-06,3.22854912
130,49.19900168851018,3.2750000000000004e-06,3.228914176
131,47.91358623877168,3.3e-06,3.2186112
